day	p.value	method	WM	C	WMR	WMC	WMR-WM	WMR-C	WMC-WMR	C-WM	WMC-WM	WMC-C
-5	7.656212036988908e-12	Kruskal-Wallis rank sum test	0	0	1.0500000000000007	0	1.4002132118676067e-6	1.4002132118676067e-6	4.198339217558643e-4	NA	NA	NA
1	0.0023721613661653366	Kruskal-Wallis rank sum test	-1.7999999999999972	-0.40000000000000036	0.3000000000000007	-1.6000000000000014	0.011034414766610835	0.34143287370461844	0.17284346299247627	0.012692558767104945	1	0.194793597511575
-4	5.691998962048589e-4	Kruskal-Wallis rank sum test	-1.1500000000000004	0.40000000000000213	0.9000000000000021	NA	0.013230866904659373	0.3084960434232021	NA	2.778980839751112e-4	NA	NA
-1	1.2327575935793687e-8	Kruskal-Wallis rank sum test	-2.5	0.15000000000000036	-0.10000000000000142	-2.8000000000000007	1.2208522920123896e-4	0.7512125427697882	7.08152782741657e-4	1.3313847053888143e-6	0.7512125427697882	9.867914610754092e-5
0	1.6410233657215649e-7	Kruskal-Wallis rank sum test	-3.049999999999999	-0.25	-0.1999999999999993	-2.1999999999999993	5.551425537001181e-4	0.9340522038045324	0.0027271539393328814	9.990038170961893e-6	0.4289246807912991	1.0937016981903006e-4
-2	7.260758907386926e-5	Kruskal-Wallis rank sum test	-2.5999999999999996	0.29999999999999716	-0.09999999999999787	NA	0.0011866006714037875	0.7416791538611596	NA	1.6503945880117497e-4	NA	NA
-3	4.615880375604107e-9	Kruskal-Wallis rank sum test	-2.1999999999999993	-0.09999999999999964	0.3000000000000007	-2.3000000000000007	5.129813244998246e-4	0.1273703368521354	0.0026341988011309952	2.9001350407353426e-7	0.5858664780327337	7.224668077998122e-5
