genus	statistic	p.value	parameter	method	WM	C	WMC	p.value.adj
Oscillibacter	62.33586182037549	2.9103122904431126e-14	2	Kruskal-Wallis rank sum test	0	0.014	0	2.037218603310179e-12
Acetatifactor	56.91890586258804	4.3673362855948835e-13	2	Kruskal-Wallis rank sum test	0	0.018000000000000002	0	1.528567699958209e-11
Ruminococcaceae Unclassified	52.629642446873156	3.729222968405842e-12	2	Kruskal-Wallis rank sum test	0	0.074	0	8.70152025961363e-11
Peptostreptococcaceae Unclassified	49.109148411740854	2.1681230016882374e-11	2	Kruskal-Wallis rank sum test	0.023	0	0.043	3.7942152529544155e-10
Blautia	46.99274222058825	6.246772389260146e-11	2	Kruskal-Wallis rank sum test	0.054	0	0.065	7.370599902204287e-10
Clostridiales Unclassified	46.41543771762152	8.337114423569638e-11	2	Kruskal-Wallis rank sum test	0	0.007	0	7.370599902204287e-10
Enterobacteriaceae Unclassified	46.15924498781644	9.47648558854837e-11	2	Kruskal-Wallis rank sum test	0.256	0.002	0.246	7.370599902204287e-10
Lachnospiraceae Unclassified	46.16865913416852	9.43198389596005e-11	2	Kruskal-Wallis rank sum test	0.005	0.503	0.002	7.370599902204287e-10
Pseudoflavonifractor	46.26785389790711	8.975593622600049e-11	2	Kruskal-Wallis rank sum test	0	0.005	0	7.370599902204287e-10
Clostridium IV	43.592249368155024	3.4202930887343443e-10	2	Kruskal-Wallis rank sum test	0	0.001	0	2.394205162114041e-9
Bacteroides	40.63483717202401	1.5005733237781725e-9	2	Kruskal-Wallis rank sum test	0.311	0.009	0.391	9.549102969497462e-9
Firmicutes Unclassified	39.311359036618555	2.908351188276863e-9	2	Kruskal-Wallis rank sum test	0	0.002	0	1.6965381931615036e-8
Clostridium XlVa	34.69131682850628	2.930058327124377e-8	2	Kruskal-Wallis rank sum test	0	0.022	0	1.577723714605434e-7
Butyricicoccus	28.97009832892104	5.11944731275802e-7	2	Kruskal-Wallis rank sum test	0	0.003	0	2.5597236563790096e-6
Clostridium XlVb	25.98713892851976	2.274911370687322e-6	2	Kruskal-Wallis rank sum test	0	0.006	0	1.0616253063207503e-5
Anaerostipes	22.631731715432583	1.2178166292475533e-5	2	Kruskal-Wallis rank sum test	0	0	0	5.3279477529580456e-5
Turicibacter	19.3984992960408	6.132949650153265e-5	2	Kruskal-Wallis rank sum test	0	0.004	0	2.525332208886638e-4
Unclassified	18.325771486110295	1.0485986239910092e-4	2	Kruskal-Wallis rank sum test	0	0.003	0	4.077883537742814e-4
Lactobacillus	17.3558888287681	1.703007758735096e-4	2	Kruskal-Wallis rank sum test	0.004	0.011	0.003	6.274239111129301e-4
Akkermansia	11.654477597555923	0.0029462008125782017	2	Kruskal-Wallis rank sum test	0.007	0.185	0.187	0.010311702844023706
Coriobacteriaceae Unclassified	11.428571428571367	0.003298505755939194	2	Kruskal-Wallis rank sum test	0	0	0	0.01099501918646398
Enterorhabdus	9.058550644132445	0.010788491422267852	2	Kruskal-Wallis rank sum test	0	0	0	0.03432701816176134
Staphylococcus	5.47945205479443	0.06458803982274787	2	Kruskal-Wallis rank sum test	0	0	0	0.19657229511271093
Parabacteroides	5.2123552123552574	0.07381615962935817	2	Kruskal-Wallis rank sum test	0	0	0	0.21529713225229466
Pseudomonas	3.603603603603707	0.16500132054643532	2	Kruskal-Wallis rank sum test	0	0	0	0.46200369753001885
Acetobacteraceae Unclassified	1.7777777777778279	0.4111122905071772	2	Kruskal-Wallis rank sum test	0	0	0	0.5138903631339715
Actinomyces	1.7777777777778279	0.4111122905071772	2	Kruskal-Wallis rank sum test	0	0	0	0.5138903631339715
Actinomycetales Unclassified	1.7777777777778279	0.4111122905071772	2	Kruskal-Wallis rank sum test	0	0	0	0.5138903631339715
Aerococcus	1.7777777777778279	0.4111122905071772	2	Kruskal-Wallis rank sum test	0	0	0	0.5138903631339715
Anaeroplasma	3.062372146284115	0.21627899242439386	2	Kruskal-Wallis rank sum test	0	0	0	0.5138903631339715
Bacillus	1.9458350961310378	0.3779786569448478	2	Kruskal-Wallis rank sum test	0	0	0	0.5138903631339715
Bradyrhizobium	2.5714285714285925	0.27645304662956144	2	Kruskal-Wallis rank sum test	0	0	0	0.5138903631339715
