genus	statistic	p.value	parameter	method	C	CWM	FRM	RM	p.value.adj
Unclassified	36.25812619502865	6.604017959878856e-8	3	Kruskal-Wallis rank sum test	0.004	0	0	0	2.377446465556388e-6
Porphyromonadaceae Unclassified	31.427718074173907	6.908229814624444e-7	3	Kruskal-Wallis rank sum test	0.2655	0	0.433	0.001	1.2434813666323998e-5
Butyricicoccus	30.407142857142887	1.1330194474389703e-6	3	Kruskal-Wallis rank sum test	0.002	0	0	0	1.3596233369267643e-5
Oscillibacter	27.526635802469116	4.565403058245895e-6	3	Kruskal-Wallis rank sum test	0.0055	0	0	0	4.108862752421305e-5
Firmicutes Unclassified	26.897111651891795	6.187122521960672e-6	3	Kruskal-Wallis rank sum test	0.0025	0	0	0	4.4547282158116837e-5
Acetatifactor	24.58503590439608	1.8853752860898688e-5	3	Kruskal-Wallis rank sum test	0.009000000000000001	0.001	0	0	1.1312251716539213e-4
Clostridiales Unclassified	23.420154071075086	3.3006001831938696e-5	3	Kruskal-Wallis rank sum test	0.0075	0.001	0	0	1.697451522785419e-4
Ruminococcaceae Unclassified	21.428908660155795	8.574708132883388e-5	3	Kruskal-Wallis rank sum test	0.020499999999999997	0.007	0	0	3.8586186597975246e-4
Bacteroidales Unclassified	19.8974169741698	1.782573182072619e-4	3	Kruskal-Wallis rank sum test	0	0	0.002	0	7.130292728290476e-4
Coriobacteriaceae Unclassified	17.36538461538465	5.943949505842768e-4	3	Kruskal-Wallis rank sum test	5e-4	0	5e-4	0	0.0021398218221033967
Lachnospiraceae Unclassified	15.96343385572083	0.0011537276233491488	3	Kruskal-Wallis rank sum test	0.2755	0.11349999999999999	0.0165	0.043	0.003775835858233578
Enterobacteriaceae Unclassified	14.122603605088269	0.002742930246437825	3	Kruskal-Wallis rank sum test	0.0015	0.067	0.0245	0.0555	0.008228790739313475
Akkermansia	11.87738953889043	0.00781519410504114	3	Kruskal-Wallis rank sum test	0.020499999999999997	0.2565	0.1335	0.11599999999999999	0.02164207598319085
Turicibacter	10.732186927090671	0.013265796094958609	3	Kruskal-Wallis rank sum test	0.012499999999999999	0.056499999999999995	0.019	0.026	0.03411204710132214
Peptostreptococcaceae Unclassified	10.1506371963361	0.017328122162397624	3	Kruskal-Wallis rank sum test	0	0.0055	0.0015	0.002	0.0415874931897543
Bacteroides	9.682177787182022	0.021470224261707874	3	Kruskal-Wallis rank sum test	0.249	0.05450000000000001	0.3745	0.628	0.04830800458884271
Clostridium IV	9.455811555501185	0.02380612768254197	3	Kruskal-Wallis rank sum test	0.001	0	0	0	0.05041297626891241
Anaeroplasma	9.209302325581312	0.026633723896810714	3	Kruskal-Wallis rank sum test	0	0	0	0	0.05326744779362143
Clostridium XlVb	7.952196645770624	0.04701005730455642	3	Kruskal-Wallis rank sum test	0.0015	0	0	0	0.0890716875244227
