genus	statistic	p.value	parameter	method	WM	C	WMR	WMC	p.value.adj
Phenylobacterium	45.00000000000004	9.252702104537081e-10	3	Kruskal-Wallis rank sum test	0	0	0	0.002	6.291837431085215e-8
Blautia	18.290146418678265	3.832137650034843e-4	3	Kruskal-Wallis rank sum test	0	0	0.001	0.001	0.013029268010118467
Enterobacteriaceae Unclassified	16.792369620305955	7.797396625523106e-4	3	Kruskal-Wallis rank sum test	0.001	0	0.023	0.006	0.013379368028993671
Enterococcus	16.772727272727312	7.870216487643336e-4	3	Kruskal-Wallis rank sum test	0	0	0	0	0.013379368028993671
Bacteroides	14.969438066902619	0.0018429533687954532	3	Kruskal-Wallis rank sum test	0.063	0.067	0.729	0.038	0.017265116562899065
Lactobacillus	14.762593148301029	0.0020311901838704783	3	Kruskal-Wallis rank sum test	0.036000000000000004	0.028999999999999998	0.007	0.015	0.017265116562899065
Porphyromonadaceae Unclassified	14.910822114501665	0.0018944653727536638	3	Kruskal-Wallis rank sum test	0.493	0.49	0.021	0.635	0.017265116562899065
Unclassified	15.717510314628726	0.00129567172703793	3	Kruskal-Wallis rank sum test	0.009000000000000001	0.015	0	0.007	0.017265116562899065
Bacteroidales Unclassified	14.458087274955698	0.002343510948812107	3	Kruskal-Wallis rank sum test	0.03	0.018	0	0.018	0.017706527168802586
Clostridiales Unclassified	13.277578668894488	0.004073207284163815	3	Kruskal-Wallis rank sum test	0.03	0.033	0	0.02	0.02769780953231394
Acetatifactor	13.062028290098501	0.0045043678721357555	3	Kruskal-Wallis rank sum test	0.003	0.003	0	0	0.027845183209566488
Turicibacter	12.415031469826014	0.006088599526162711	3	Kruskal-Wallis rank sum test	0.062	0.043	0.019	0.061	0.0345020639815887
Alistipes	11.762773911522984	0.008241591903769711	3	Kruskal-Wallis rank sum test	0.048	0.088	0	0.106	0.043109865342795414
Akkermansia	10.958073156898847	0.01195476371395064	3	Kruskal-Wallis rank sum test	0.018	0.008	0.117	0.003	0.058065995182045964
Ruminococcaceae Unclassified	10.375514520458818	0.015629573888358197	3	Kruskal-Wallis rank sum test	0.012	0.011	0	0.005	0.07085406829389049
Lachnospiraceae Unclassified	10.01352288262937	0.01845153506304067	3	Kruskal-Wallis rank sum test	0.085	0.099	0.012	0.061	0.07380614025216269
Oscillibacter	10.112003850177365	0.017637666221618525	3	Kruskal-Wallis rank sum test	0.002	0.002	0	0.006	0.07380614025216269
Dialister	8.200000000000019	0.042054182894965805	3	Kruskal-Wallis rank sum test	0	0	0	0	0.14298422184288373
Peptostreptococcaceae Unclassified	8.200000000000019	0.042054182894965805	3	Kruskal-Wallis rank sum test	0	0	0	0	0.14298422184288373
Romboutsia	8.200000000000019	0.042054182894965805	3	Kruskal-Wallis rank sum test	0	0	0	0	0.14298422184288373
Enterorhabdus	7.886801374544706	0.048410038035072066	3	Kruskal-Wallis rank sum test	0.001	0.001	0	0	0.15675631363737622
Ruminococcus	7.7208492542832365	0.05214733933740741	3	Kruskal-Wallis rank sum test	0.004	0.005	0	0.006	0.1611826852247138
Olsenella	6.95156290023657	0.07345775701070158	3	Kruskal-Wallis rank sum test	0.001	0	0	0	0.2171794555099003
Anaeroplasma	6.342715588425385	0.09607612646235715	3	Kruskal-Wallis rank sum test	0	0.001	0	0.002	0.27221569164334525
Bifidobacterium	5.913499331125762	0.11589535489018127	3	Kruskal-Wallis rank sum test	0.003	0.001	0	0.003	0.3034647936874123
Erysipelotrichaceae Unclassified	5.910818135498981	0.11603065640989295	3	Kruskal-Wallis rank sum test	0.002	0.001	0.001	0	0.3034647936874123
Butyricicoccus	5.243394199785184	0.15481791636105202	3	Kruskal-Wallis rank sum test	0	0	0	0	0.37778345577629013
