genus	statistic	p.value	parameter	method	WM	C	WMR	WMC	p.value.adj	day
Cloacibacterium	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	NA	0	NaN	6
Clostridia Unclassified	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	NA	0	NaN	6
Clostridiaceae 1 Unclassified	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	NA	0	NaN	6
Clostridiales Incertae Sedis XIII Unclassified	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	NA	0	NaN	6
Clostridium sensu stricto	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	NA	0	NaN	6
Clostridium XI	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	NA	0	NaN	6
Clostridium XVIII	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	NA	0	NaN	6
Collinsella	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	NA	0	NaN	6
Comamonadaceae Unclassified	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	NA	0	NaN	6
Corynebacterium	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	NA	0	NaN	6
Curvibacter	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	NA	0	NaN	6
Cystobacter	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	NA	0	NaN	6
Desulfovibrio	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	NA	0	NaN	6
Devosia	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	NA	0	NaN	6
Dialister	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	NA	0	NaN	6
Dorea	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	NA	0	NaN	6
Dysgonomonas	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	NA	0	NaN	6
Enterococcus	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	NA	0	NaN	6
Escherichia/Shigella	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	NA	0	NaN	6
Eubacterium	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	NA	0	NaN	6
Faecalibacterium	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	NA	0	NaN	6
Finegoldia	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	NA	0	NaN	6
Flavobacteriaceae Unclassified	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	NA	0	NaN	6
Flavobacterium	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	NA	0	NaN	6
Flavonifractor	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	NA	0	NaN	6
Fusicatenibacter	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	NA	0	NaN	6
Fusobacteriaceae Unclassified	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	NA	0	NaN	6
Fusobacterium	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	NA	0	NaN	6
Gemella	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	NA	0	NaN	6
Gemmata	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	NA	0	NaN	6
Geobacillus	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	NA	0	NaN	6
Granulicatella	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	NA	0	NaN	6
Hungatella	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	NA	0	NaN	6
Hyphomicrobium	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	NA	0	NaN	6
Janthinobacterium	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	NA	0	NaN	6
Jeotgalicoccus	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	NA	0	NaN	6
Lactobacillaceae Unclassified	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	NA	0	NaN	6
Lactobacillales Unclassified	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	NA	0	NaN	6
Lactococcus	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	NA	0	NaN	6
Leptotrichia	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	NA	0	NaN	6
Listeria	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	NA	0	NaN	6
Lysobacter	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	NA	0	NaN	6
Mannheimia	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	NA	0	NaN	6
Marmoricola	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	NA	0	NaN	6
Megasphaera	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	NA	0	NaN	6
Methylobacterium	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	NA	0	NaN	6
Morganella	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	NA	0	NaN	6
Mucispirillum	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	NA	0	NaN	6
Neisseria	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	NA	0	NaN	6
