otu	statistic	p.value	parameter	method	C	WMR	CWM	RM	FRM	M1	1RM1	p.value.adj
Porphyromonadaceae (OTU 44)	66.87999839516411	1.7809639892648757e-12	6	Kruskal-Wallis rank sum test	0	0	0	0	0.010499999999999999	0.02	0.012	6.286802882105011e-10
Porphyromonadaceae (OTU 48)	64.97049802611599	4.3742120683241405e-12	6	Kruskal-Wallis rank sum test	0	0	0	0	0.003	0.010499999999999999	0.010499999999999999	7.720484300592108e-10
Porphyromonadaceae (OTU 14)	62.70940586650701	1.264984026694442e-11	6	Kruskal-Wallis rank sum test	0	0	0	0	0.0405	0.08549999999999999	0.054	1.4884645380771269e-9
Porphyromonadaceae (OTU 25)	61.250818249502025	2.5062831002764723e-11	6	Kruskal-Wallis rank sum test	0	0	0	0	0.004	0.026500000000000003	0.0315	2.211794835993987e-9
Porphyromonadaceae (OTU 87)	56.85205699570085	1.9573444384119129e-10	6	Kruskal-Wallis rank sum test	0	0	0	0	0.0025	0.001	0.0025	1.3818851735188103e-8
Bacteroidales (OTU 38)	55.190920464700625	4.241689495984797e-10	6	Kruskal-Wallis rank sum test	0	0	0	0	0.002	0.025	0.01	2.495527320137722e-8
Oscillibacter (OTU 57)	54.44902503121423	5.98841890989068e-10	6	Kruskal-Wallis rank sum test	0.004	0	0	0	0	0.002	0.006	3.019874107416301e-8
Porphyromonadaceae (OTU 10)	53.991272959883	7.407105039669585e-10	6	Kruskal-Wallis rank sum test	0	0	0	0	0.1515	0.07050000000000001	0.049	3.2683850987542043e-8
Ruminococcaceae (OTU 54)	53.3365004444172	1.0037519927809793e-9	6	Kruskal-Wallis rank sum test	0.0035	0	0	0	0	0	0	3.936938371685396e-8
Porphyromonadaceae (OTU 8)	50.93698080793652	3.0494601950427384e-9	6	Kruskal-Wallis rank sum test	0.0495	0	0	0	0.017	0.0475	0.0255	1.0764594488500866e-7
Ruminococcaceae (OTU 27)	49.33324966162175	6.394214828753674e-9	6	Kruskal-Wallis rank sum test	0.005	0	0	0	0	0	5e-4	2.05196166777277e-7
Porphyromonadaceae (OTU 40)	47.39656247217028	1.559488100797354e-8	6	Kruskal-Wallis rank sum test	0	0	0	0	0.0055	0.012	0	4.5874941631788834e-7
Porphyromonadaceae (OTU 6)	46.07989746446982	2.8540745383015893e-8	6	Kruskal-Wallis rank sum test	0	0	0	0	0.154	0.2225	0.1875	7.297324482102691e-7
Porphyromonadaceae (OTU 99)	45.89898989898987	3.100846097210775e-8	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0.0015	0	7.297324482102691e-7
Porphyromonadaceae (OTU 212)	45.941176470588196	3.041465181086405e-8	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0.001	0	7.297324482102691e-7
