genus	statistic	p.value	parameter	method	WM	C	WMR	p.value.adj
Acidaminococcaceae Unclassified	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Acidaminococcus	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Actinobacillus	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Actinomyces	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Actinomycetales Unclassified	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Aerococcus	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Aestuariispira	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Alloprevotella	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Alphaproteobacteria Unclassified	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Anaerofustis	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Anaerostipes	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Anaerotruncus	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Atopobium	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Atopostipes	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Aurantimonadaceae Unclassified	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Bacillaceae 1 Unclassified	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Bacillales Unclassified	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Bacilli Unclassified	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Betaproteobacteria Unclassified	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Bifidobacteriaceae Unclassified	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Bilophila	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Brachybacterium	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Bradyrhizobium	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Brucellaceae Unclassified	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Burkholderia	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Burkholderiales Unclassified	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Butyricimonas	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Butyrivibrio	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Campylobacter	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Carnobacteriaceae Unclassified	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Catonella	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Chitinophagaceae Unclassified	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Cloacibacillus	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Cloacibacterium	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Clostridiaceae 1 Unclassified	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Clostridiales Incertae Sedis XIII Unclassified	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Clostridium sensu stricto	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Clostridium XI	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Clostridium XVIII	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Collinsella	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Comamonadaceae Unclassified	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Corynebacterium	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Curvibacter	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Cystobacter	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Desulfovibrio	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Devosia	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Dialister	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Dysgonomonas	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Enterococcus	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Escherichia/Shigella	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Eubacterium	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Faecalibacterium	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Finegoldia	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Flavobacteriaceae Unclassified	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Flavobacterium	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Flavonifractor	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Fusicatenibacter	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Fusobacteriaceae Unclassified	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Fusobacterium	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Gemella	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Gemmata	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Geobacillus	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Granulicatella	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Hungatella	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Hyphomicrobium	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Janthinobacterium	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Jeotgalicoccus	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Lactobacillaceae Unclassified	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Lactobacillales Unclassified	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Lactococcus	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Leptotrichia	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Lysobacter	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Mannheimia	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Marmoricola	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Megasphaera	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Methylobacterium	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Morganella	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Mucispirillum	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Neisseria	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Neisseriaceae Unclassified	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Odoribacter	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Olsenella	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Paraprevotella	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Parasutterella	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Parvimonas	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Pasteurellaceae Unclassified	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Pectinatus	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Peptoniphilus	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Peptostreptococcus	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Phascolarctobacterium	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Phenylobacterium	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Phocaeicola	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Phyllobacteriaceae Unclassified	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Phyllobacterium	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Porphyromonas	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Proteobacteria Unclassified	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Proteus	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Pseudomonas	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Pyramidobacter	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Ralstonia	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Romboutsia	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Roseburia	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Rothia	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Ruminococcus	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Ruminococcus2	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Senegalimassilia	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Sphingomonas	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Staphylococcus	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Stenotrophomonas	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Stomatobaculum	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Subdoligranulum	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Succiniclasticum	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Succinivibrio	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Sutterella	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Terrisporobacter	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Veillonella	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Veillonellaceae Unclassified	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Verrucomicrobia Unclassified	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Weissella	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
