otu	statistic	p.value	parameter	method	C	1RM1	M1	p.value.adj
Bacteroides (OTU 1)	10.971428571428568	0.004145572897988745	2	Kruskal-Wallis rank sum test	5e-4	0.5275000000000001	0.721	0.21349700424642037
Porphyromonadaceae (OTU 7)	10.990810359231414	0.004105592626050338	2	Kruskal-Wallis rank sum test	0	0.05600000000000001	0	0.21349700424642037
Porphyromonadaceae (OTU 6)	9.546725533480503	0.008451910514822927	2	Kruskal-Wallis rank sum test	5e-4	0.14300000000000002	0.0195	0.29018226100892053
Enterobacteriaceae (OTU 2)	6.533406754772393	0.03813192667088497	2	Kruskal-Wallis rank sum test	0.781	0.0395	0.14700000000000002	0.32050425261812154
Peptostreptococcaceae (OTU 12)	7.888190954773868	0.019368727901068434	2	Kruskal-Wallis rank sum test	0.062	0	0.0015	0.32050425261812154
Porphyromonadaceae (OTU 14)	7.472072072072072	0.0238484504111826	2	Kruskal-Wallis rank sum test	0	0.0075	0	0.32050425261812154
Lachnospiraceae (OTU 24)	6.000000000000016	0.04978706836786354	2	Kruskal-Wallis rank sum test	5e-4	0	0	0.32050425261812154
Lachnospiraceae (OTU 31)	6.000000000000016	0.04978706836786354	2	Kruskal-Wallis rank sum test	0.0015	0	0	0.32050425261812154
Erysipelotrichaceae (OTU 39)	8.53601340033501	0.014009680834340241	2	Kruskal-Wallis rank sum test	0	0.0055	0	0.32050425261812154
Lachnospiraceae (OTU 120)	7.472072072072072	0.0238484504111826	2	Kruskal-Wallis rank sum test	0	0	0.0025	0.32050425261812154
Dorea (OTU 134)	6.717416378316031	0.03478015932399683	2	Kruskal-Wallis rank sum test	0	0.001	0	0.32050425261812154
Erysipelotrichaceae (OTU 142)	6.907070707070712	0.03163360248666368	2	Kruskal-Wallis rank sum test	0.0015	0	5e-4	0.32050425261812154
Veillonella (OTU 192)	6.000000000000016	0.04978706836786354	2	Kruskal-Wallis rank sum test	5e-4	0	0	0.32050425261812154
Lactobacillales (OTU 242)	6.000000000000016	0.04978706836786354	2	Kruskal-Wallis rank sum test	5e-4	0	0	0.32050425261812154
Lachnospiraceae (OTU 249)	6.000000000000016	0.04978706836786354	2	Kruskal-Wallis rank sum test	5e-4	0	0	0.32050425261812154
Peptostreptococcaceae (OTU 460)	6.000000000000016	0.04978706836786354	2	Kruskal-Wallis rank sum test	0.001	0	0	0.32050425261812154
Turicibacter (OTU 5)	5.758646063281826	0.056172777158212804	2	Kruskal-Wallis rank sum test	0	0.019	0.041999999999999996	0.34034094395858344
Lactobacillus (OTU 9)	5.608988764044946	0.06053737221941516	2	Kruskal-Wallis rank sum test	0.138	0.006	0.0015	0.3464082965888756
Porphyromonadaceae (OTU 8)	5.161481481481484	0.07571789591432307	2	Kruskal-Wallis rank sum test	0	0.0235	0.013	0.37137825138929886
Lachnospiraceae (OTU 16)	5.212773998488283	0.07380070465547385	2	Kruskal-Wallis rank sum test	0	0.001	0.017	0.37137825138929886
Lachnospiraceae (OTU 75)	5.174129353233831	0.07524057167060491	2	Kruskal-Wallis rank sum test	0	0.004	0	0.37137825138929886
Ruminococcaceae (OTU 153)	4.666666666666664	0.09697196786440518	2	Kruskal-Wallis rank sum test	0	5e-4	0	0.4540051222742606
Porphyromonadaceae (OTU 10)	4.3031709203402935	0.11629962310573201	2	Kruskal-Wallis rank sum test	0	0.059000000000000004	0.001	0.516122293496907
Bifidobacterium (OTU 28)	4.236173393124066	0.12026150528083268	2	Kruskal-Wallis rank sum test	0	0.007	0.008	0.516122293496907
Lachnospiraceae (OTU 4)	1.3333333333333288	0.5134171190325932	2	Kruskal-Wallis rank sum test	0	0	0	0.5748039484821424
Porphyromonadaceae (OTU 15)	1.5407407407407456	0.46284161374243615	2	Kruskal-Wallis rank sum test	0	5e-4	0	0.5748039484821424
Lachnospiraceae (OTU 17)	3.7621212121212135	0.15242835355877302	2	Kruskal-Wallis rank sum test	0	0.004	0.0025	0.5748039484821424
Alistipes (OTU 18)	1.3333333333333288	0.5134171190325932	2	Kruskal-Wallis rank sum test	0	0	0	0.5748039484821424
Clostridium (OTU 22)	1.3333333333333288	0.5134171190325932	2	Kruskal-Wallis rank sum test	0	0	0	0.5748039484821424
Lactobacillus (OTU 23)	3.5643601190476226	0.16827090651835977	2	Kruskal-Wallis rank sum test	0.002	0.0035	0.007	0.5748039484821424
Porphyromonadaceae (OTU 25)	1.7468281430219113	0.41752365754801285	2	Kruskal-Wallis rank sum test	0	0	5e-4	0.5748039484821424
Lachnospiraceae (OTU 29)	1.3333333333333288	0.5134171190325932	2	Kruskal-Wallis rank sum test	0	0	0	0.5748039484821424
Lachnospiraceae (OTU 36)	1.3333333333333288	0.5134171190325932	2	Kruskal-Wallis rank sum test	0	0	0	0.5748039484821424
Bacteroidales (OTU 38)	1.3333333333333288	0.5134171190325932	2	Kruskal-Wallis rank sum test	0	0	0	0.5748039484821424
Porphyromonadaceae (OTU 40)	1.3333333333333288	0.5134171190325932	2	Kruskal-Wallis rank sum test	0	0	0	0.5748039484821424
Porphyromonadaceae (OTU 44)	1.3333333333333288	0.5134171190325932	2	Kruskal-Wallis rank sum test	0	0	0	0.5748039484821424
Porphyromonadaceae (OTU 48)	1.3333333333333288	0.5134171190325932	2	Kruskal-Wallis rank sum test	0	0	0	0.5748039484821424
Lachnospiraceae (OTU 66)	1.7651515151515118	0.4137159062181493	2	Kruskal-Wallis rank sum test	0	5e-4	0	0.5748039484821424
Porphyromonadaceae (OTU 67)	2.8717948717948807	0.23790176659861836	2	Kruskal-Wallis rank sum test	0	0	0	0.5748039484821424
Lachnospiraceae (OTU 72)	1.569191919191921	0.4563040298097161	2	Kruskal-Wallis rank sum test	0	5e-4	0	0.5748039484821424
Lachnospiraceae (OTU 73)	2.8888888888888977	0.23587708298569898	2	Kruskal-Wallis rank sum test	0	0	0	0.5748039484821424
Porphyromonadaceae (OTU 80)	1.3333333333333288	0.5134171190325932	2	Kruskal-Wallis rank sum test	0	0	0	0.5748039484821424
Lachnospiraceae (OTU 81)	1.3333333333333288	0.5134171190325932	2	Kruskal-Wallis rank sum test	0	0	0	0.5748039484821424
Lachnospiraceae (OTU 82)	1.3333333333333288	0.5134171190325932	2	Kruskal-Wallis rank sum test	0	0	0	0.5748039484821424
Porphyromonadaceae (OTU 87)	1.3333333333333288	0.5134171190325932	2	Kruskal-Wallis rank sum test	0	0	0	0.5748039484821424
Lachnospiraceae (OTU 104)	3.8714043993231835	0.14432288974919	2	Kruskal-Wallis rank sum test	0	5e-4	0.004	0.5748039484821424
Clostridiales (OTU 107)	1.3333333333333288	0.5134171190325932	2	Kruskal-Wallis rank sum test	0	0	0	0.5748039484821424
Lachnospiraceae (OTU 113)	1.3333333333333288	0.5134171190325932	2	Kruskal-Wallis rank sum test	0	0	0	0.5748039484821424
Olsenella (OTU 114)	2.8888888888888977	0.23587708298569898	2	Kruskal-Wallis rank sum test	0	0	0	0.5748039484821424
Lachnospiraceae (OTU 121)	1.3333333333333288	0.5134171190325932	2	Kruskal-Wallis rank sum test	0	0	0	0.5748039484821424
Lachnospiraceae (OTU 125)	1.3333333333333288	0.5134171190325932	2	Kruskal-Wallis rank sum test	0	0	0	0.5748039484821424
Clostridium (OTU 126)	1.3333333333333288	0.5134171190325932	2	Kruskal-Wallis rank sum test	0	0	0	0.5748039484821424
Lachnospiraceae (OTU 127)	1.3333333333333288	0.5134171190325932	2	Kruskal-Wallis rank sum test	0	0	0	0.5748039484821424
Blautia (OTU 132)	1.3333333333333288	0.5134171190325932	2	Kruskal-Wallis rank sum test	0	0	0	0.5748039484821424
Clostridiales (OTU 137)	1.3333333333333288	0.5134171190325932	2	Kruskal-Wallis rank sum test	0	0	0	0.5748039484821424
Lachnospiraceae (OTU 148)	1.3333333333333288	0.5134171190325932	2	Kruskal-Wallis rank sum test	0	0	0	0.5748039484821424
Lachnospiraceae (OTU 160)	1.3333333333333288	0.5134171190325932	2	Kruskal-Wallis rank sum test	0	0	0	0.5748039484821424
Clostridiales (OTU 173)	1.3333333333333288	0.5134171190325932	2	Kruskal-Wallis rank sum test	0	0	0	0.5748039484821424
Bacteroides (OTU 178)	2.8888888888888977	0.23587708298569898	2	Kruskal-Wallis rank sum test	0	0	0	0.5748039484821424
Coriobacteriaceae (OTU 182)	1.3333333333333288	0.5134171190325932	2	Kruskal-Wallis rank sum test	0	0	0	0.5748039484821424
Clostridium (OTU 186)	1.3333333333333288	0.5134171190325932	2	Kruskal-Wallis rank sum test	0	0	0	0.5748039484821424
Lachnospiraceae (OTU 189)	1.3333333333333288	0.5134171190325932	2	Kruskal-Wallis rank sum test	0	0	0	0.5748039484821424
Lachnospiraceae (OTU 193)	1.3333333333333288	0.5134171190325932	2	Kruskal-Wallis rank sum test	0	0	0	0.5748039484821424
Porphyromonadaceae (OTU 212)	1.3333333333333288	0.5134171190325932	2	Kruskal-Wallis rank sum test	0	0	0	0.5748039484821424
Bacillus (OTU 218)	1.3333333333333288	0.5134171190325932	2	Kruskal-Wallis rank sum test	0	0	0	0.5748039484821424
Lachnospiraceae (OTU 225)	1.3333333333333288	0.5134171190325932	2	Kruskal-Wallis rank sum test	0	0	0	0.5748039484821424
Porphyromonadaceae (OTU 246)	1.3333333333333288	0.5134171190325932	2	Kruskal-Wallis rank sum test	0	0	0	0.5748039484821424
Bacteroides (OTU 256)	1.3333333333333288	0.5134171190325932	2	Kruskal-Wallis rank sum test	0	0	0	0.5748039484821424
Lachnospiraceae (OTU 272)	1.3333333333333288	0.5134171190325932	2	Kruskal-Wallis rank sum test	0	0	0	0.5748039484821424
Parabacteroides (OTU 275)	1.3333333333333288	0.5134171190325932	2	Kruskal-Wallis rank sum test	0	0	0	0.5748039484821424
Alistipes (OTU 289)	1.3333333333333288	0.5134171190325932	2	Kruskal-Wallis rank sum test	0	0	0	0.5748039484821424
Porphyromonadaceae (OTU 325)	1.3333333333333288	0.5134171190325932	2	Kruskal-Wallis rank sum test	0	0	0	0.5748039484821424
Lachnospiraceae (OTU 326)	1.3333333333333288	0.5134171190325932	2	Kruskal-Wallis rank sum test	0	0	0	0.5748039484821424
Phascolarctobacterium (OTU 331)	1.3333333333333288	0.5134171190325932	2	Kruskal-Wallis rank sum test	0	0	0	0.5748039484821424
Akkermansia (OTU 352)	1.3333333333333288	0.5134171190325932	2	Kruskal-Wallis rank sum test	0	0	0	0.5748039484821424
Porphyromonadaceae (OTU 362)	1.3333333333333288	0.5134171190325932	2	Kruskal-Wallis rank sum test	0	0	0	0.5748039484821424
Porphyromonadaceae (OTU 388)	1.3333333333333288	0.5134171190325932	2	Kruskal-Wallis rank sum test	0	0	0	0.5748039484821424
Bacteroides (OTU 400)	1.3333333333333288	0.5134171190325932	2	Kruskal-Wallis rank sum test	0	0	0	0.5748039484821424
Clostridium (OTU 405)	1.3333333333333288	0.5134171190325932	2	Kruskal-Wallis rank sum test	0	0	0	0.5748039484821424
Lachnospiraceae (OTU 448)	1.3333333333333288	0.5134171190325932	2	Kruskal-Wallis rank sum test	0	0	0	0.5748039484821424
Porphyromonadaceae (OTU 508)	1.3333333333333288	0.5134171190325932	2	Kruskal-Wallis rank sum test	0	0	0	0.5748039484821424
Lactococcus (OTU 548)	1.3333333333333288	0.5134171190325932	2	Kruskal-Wallis rank sum test	0	0	0	0.5748039484821424
Porphyromonadaceae (OTU 707)	1.3333333333333288	0.5134171190325932	2	Kruskal-Wallis rank sum test	0	0	0	0.5748039484821424
Porphyromonadaceae (OTU 723)	1.3333333333333288	0.5134171190325932	2	Kruskal-Wallis rank sum test	0	0	0	0.5748039484821424
Ruminococcaceae (OTU 747)	1.3333333333333288	0.5134171190325932	2	Kruskal-Wallis rank sum test	0	0	0	0.5748039484821424
Anaerostipes (OTU 840)	2.8888888888888977	0.23587708298569898	2	Kruskal-Wallis rank sum test	0	0	0	0.5748039484821424
Blautia (OTU 970)	1.3333333333333288	0.5134171190325932	2	Kruskal-Wallis rank sum test	0	0	0	0.5748039484821424
Lachnospiraceae (OTU 1053)	1.3333333333333288	0.5134171190325932	2	Kruskal-Wallis rank sum test	0	0	0	0.5748039484821424
Lactobacillus (OTU 1178)	1.3333333333333288	0.5134171190325932	2	Kruskal-Wallis rank sum test	0	0	0	0.5748039484821424
Porphyromonadaceae (OTU 1411)	1.3333333333333288	0.5134171190325932	2	Kruskal-Wallis rank sum test	0	0	0	0.5748039484821424
Campylobacter (OTU 1655)	1.3333333333333288	0.5134171190325932	2	Kruskal-Wallis rank sum test	0	0	0	0.5748039484821424
Lachnospiraceae (OTU 1765)	1.3333333333333288	0.5134171190325932	2	Kruskal-Wallis rank sum test	0	0	0	0.5748039484821424
Clostridiales (OTU 91)	1.1759259259259323	0.5554576208215237	2	Kruskal-Wallis rank sum test	0	0	0	0.6151842467163112
Akkermansia (OTU 3)	0.8642659279778362	0.6491230609553494	2	Kruskal-Wallis rank sum test	5e-4	5e-4	0	0.7005340898906407
Lachnospiraceae (OTU 26)	0.8471741637831601	0.6546941611780431	2	Kruskal-Wallis rank sum test	0	0	0	0.7005340898906407
Lachnospiraceae (OTU 32)	0.8471741637831601	0.6546941611780431	2	Kruskal-Wallis rank sum test	0	0	0	0.7005340898906407
Lachnospiraceae (OTU 70)	0.8113475177304936	0.6665275806726485	2	Kruskal-Wallis rank sum test	0	0	0	0.7005340898906407
Lachnospiraceae (OTU 150)	0.814814814814812	0.6653730571622706	2	Kruskal-Wallis rank sum test	0	0	0	0.7005340898906407
Lactobacillus (OTU 13)	0.6423303834808273	0.7253034269580164	2	Kruskal-Wallis rank sum test	0.0095	0.006999999999999999	0.011	0.7546086159260171
Lachnospiraceae (OTU 64)	0.36111111111110983	0.8348063012807899	2	Kruskal-Wallis rank sum test	0	0	0	0.8348063012807899
Lachnospiraceae (OTU 68)	0.36111111111110983	0.8348063012807899	2	Kruskal-Wallis rank sum test	0	0	0	0.8348063012807899
Enterorhabdus (OTU 109)	0.36111111111110983	0.8348063012807899	2	Kruskal-Wallis rank sum test	0	0	0	0.8348063012807899
Lachnospiraceae (OTU 123)	0.36111111111110983	0.8348063012807899	2	Kruskal-Wallis rank sum test	0	0	0	0.8348063012807899
